"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.867365209E0,-5.737060308E-2,5.327224731E-3,4.027564824E-2
1.872418803E0,-6.458172202E-2,2.893447876E-3,4.246166348E-2
1.877472396E0,-5.279999971E-2,1.353740692E-2,4.698681459E-2
1.882525990E0,-5.288141966E-2,8.661270142E-3,3.493379429E-2
1.887579584E0,-5.888232589E-2,2.660751343E-4,3.128990531E-2
1.892633178E0,-5.058842897E-2,7.371902466E-3,3.833060712E-2
1.897686771E0,-5.070331693E-2,-4.574775696E-3,5.596397072E-2
1.902740365E0,-4.361909628E-2,-4.549980164E-3,6.623630971E-2
1.907793959E0,-5.561748147E-2,-4.525184631E-3,7.770258188E-2
1.912847553E0,-4.964914918E-2,-6.872177124E-3,7.714160532E-2
1.917901146E0,-5.809646845E-2,2.918243408E-4,5.987382680E-2
1.922954740E0,-6.642797589E-2,5.023002625E-3,5.830337480E-2
1.928008334E0,-6.513291597E-2,-2.152442932E-3,3.651911020E-2
1.933061928E0,-5.550894141E-2,2.279281616E-4,3.400243819E-2
1.938115521E0,-6.740817428E-2,1.089668274E-2,3.856989741E-2
1.943169115E0,-5.895233154E-2,-1.077651978E-3,4.194124043E-2
1.948222709E0,-8.260273933E-2,-7.014274597E-3,6.181231886E-2
1.953276303E0,-6.088680029E-2,-4.591941833E-3,4.822003096E-2
1.958329896E0,-5.487459898E-2,-5.751609802E-3,3.949097544E-2
1.963383490E0,-7.021924853E-2,-2.589511871E-2,5.214063451E-2
1.968437084E0,-6.059825420E-2,-1.263523102E-2,5.165691301E-2
1.973490730E0,-5.696251988E-2,-8.979797363E-3,3.335473686E-2
